# Mapa do Labirinto com Texturas
# Formato: tipo_celula:tipo_textura (ou apenas tipo_celula para retrocompatibilidade)
# Tipos de célula: 0=parede, 1=corredor, 2=sala, 3=início, 4=janela, 5=porta, 6=objeto, 7=cápsula
# Tipos de textura: 0=CROSS, 1=DL, 2=DLR, 3=DR, 4=LR, 5=None, 6=UD, 7=UDL, 8=UDR, 9=UL, 10=ULR, 11=UR
# Dimensões: 20x20
20 20
1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0 1:0
1:1 1:1 1:1 1:1 1:1 7:5 1:1 6 1:1 1:1 1:1 7:1 1:1 1:1 1:1 6 1:1 7:1 1:1 1:1
1:4 1:4 1:4 1:4 1:4 1:4 1:4 1:4 1:1 1:4 1:4 1:4 1:4 1:4 1:4 1:4 1:4 1:4 1:4 1:4
1:4 1:4 1:4 1:4 4 1:4 1:4 1:4 1:4 1:4 1:4 1:4 1:4 5 1:4 1:4 1:4 1:4 1:4 1:4
1:6 1:6 6 1:6 1:6 1:6 7:6 1:6 1:6 1:6 6 1:6 1:6 1:6 1:6 1:6 1:6 7:6 1:6 1:6
1:6 1:6 1:6 1:6 1:6 1:6 1:6 1:6 0 1:6 1:6 1:6 1:6 1:6 1:6 1:6 1:6 1:6 1:6 1:6
1:6 7:6 1:6 1:6 1:6 1:6 1:6 6 1:6 1:6 1:6 1:6 7:6 1:6 1:6 1:6 1:6 1:6 1:6 1:6
1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9
1:9 1:9 1:9 6 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 1:9 7:9 1:9
1:10 1:10 1:10 1:10 1:10 1:10 1:10 1:10 1:10 3 1:10 1:10 1:10 1:10 1:10 1:10 1:10 1:10 1:10 1:10
1:10 1:10 1:10 1:10 1:10 1:10 1:10 1:10 1:10 1:10 1:10 1:10 6 1:10 1:10 1:10 1:10 1:10 1:10 1:10
1:11 1:11 1:11 1:11 1:11 7:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 6 1:11 1:11
1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 1:11 7:11 1:11 1:11 1:11 1:11 1:11
1:2 6 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2
1:2 1:2 1:2 1:2 1:2 1:2 6 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 1:2 7:2 1:2 1:2 1:2
1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3
1:3 1:3 7:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 6 1:3 1:3 1:3 1:3 1:3 1:3
1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 7:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3
1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3
1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3 1:3
